id,name,description,user_id,street_address,city,state,zip,capacity,date,deadline
14,Eabox,"Drainage of Right Lower Lung Lobe, Perc Endo Approach, Diagn",278,331 Old Shore Crossing,Phoenix,Arizona,85040,45,2019-11-28 15:55:24,2019-11-17 10:48:22
15,Skipfire,"Supplement L Metacarpophal Jt w Nonaut Sub, Perc Endo",812,8137 Clemons Place,Buffalo,New York,14225,78,2019-12-02 17:13:34,2019-10-30 14:48:23
16,Oyondu,"Excision of Right Zygomatic Bone, Perc Endo Approach",406,233 Talisman Park,Waco,Texas,76711,46,2019-12-21 03:20:04,2019-11-17 07:49:57
17,Dynabox,"Imaging, Axial Skel, Exc Skull Facial, CT Scan",442,6 Hintze Point,Charlotte,North Carolina,28242,3,2019-12-27 11:40:58,2019-11-15 17:24:12
18,Miboo,"Revision of Autol Sub in R Eye, Open Approach",512,39911 Drewry Way,Arlington,Virginia,22225,63,2019-12-02 15:43:18,2019-11-22 01:57:20
19,Lazzy,"Revision of Spacer in Left Elbow Joint, External Approach",406,72267 Londonderry Way,Sacramento,California,94263,65,2019-12-24 08:17:56,2019-11-01 14:47:48
20,Mycat,"Drainage of Bilateral Lungs, Via Opening",655,93890 Amoth Alley,Wilmington,North Carolina,28405,68,2019-12-07 20:41:46,2019-11-20 11:52:48
21,Gevee,"Mouth and Throat, Restriction",855,54678 Bluejay Hill,Buffalo,New York,14215,12,2019-12-20 19:29:13,2019-11-17 03:14:25
22,Aimbo,"Replace Access Pancr Duct w Nonaut Sub, Perc Endo",296,6607 Raven Court,Spokane,Washington,99252,7,2019-12-22 23:29:46,2019-10-27 10:45:13
23,Ainyx,"Occlusion Mid Colic Art w Intralum Dev, Perc Endo",838,80 Schlimgen Park,New Hyde Park,New York,11044,17,2019-12-13 13:11:54,2019-11-12 08:42:51
24,Roodel,"Dilate R Ext Iliac Art, Bifurc, w 4+ Intralum Dev, Perc",470,0668 Swallow Point,Waco,Texas,76711,23,2019-12-22 20:22:32,2019-11-23 23:30:45
25,Livepath,"Bypass L Kidney Pelvis to Ileum w Autol Sub, Open",613,3 Meadow Ridge Drive,Bakersfield,California,93386,36,2019-12-09 08:46:58,2019-11-06 16:32:19
26,Vinte,"Excision of Left Foot Artery, Open Approach",91,7587 High Crossing Pass,Amarillo,Texas,79118,62,2019-12-24 18:02:51,2019-11-10 17:14:45
27,Nlounge,"Repair Right Knee Bursa and Ligament, Perc Endo Approach",207,13 Badeau Avenue,San Diego,California,92165,70,2019-12-19 02:10:35,2019-11-15 19:53:40
28,Reallinks,"Release Lung Lingula, Percutaneous Approach",910,3 Mccormick Parkway,Providence,Rhode Island,02912,4,2019-12-14 19:55:11,2019-11-25 19:22:42
29,Blogspan,"Restrict of Ileocecal Valve with Intralum Dev, Open Approach",366,4746 Barby Drive,Kansas City,Kansas,66105,8,2019-12-08 16:44:07,2019-11-22 01:27:38
30,Thoughtstorm,"Supplement L Acromioclav Jt w Synth Sub, Perc Endo",529,2 Tomscot Junction,Tulsa,Oklahoma,74149,72,2019-12-15 08:03:25,2019-10-31 21:07:45
31,Eazzy,"Release Right Mastoid Sinus, Open Approach",19,582 Fordem Place,Gainesville,Florida,32605,32,2019-12-23 22:27:17,2019-11-08 12:43:33
32,Linktype,"Reposition Left Axillary Vein, Open Approach",20,6 Arapahoe Center,Richmond,Virginia,23203,60,2019-12-05 20:37:58,2019-10-30 07:49:46
33,Talane,"Insert of Ext Fix into R Thumb Phalanx, Perc Endo Approach",161,241 Lake View Terrace,New York City,New York,10270,67,2019-12-09 16:36:04,2019-11-20 15:43:50
34,Fivespan,"Bypass L Kidney Pelvis to Ileocutan w Nonaut Sub, Perc Endo",662,90275 Sullivan Junction,El Paso,Texas,88569,46,2019-12-02 14:14:40,2019-11-19 19:10:15
35,Dynazzy,"Revision of Synthetic Substitute in Abd Wall, Perc Approach",931,91419 Lerdahl Place,Jacksonville,Florida,32225,79,2019-12-10 00:45:33,2019-11-26 05:59:19
36,Shuffletag,"Fusion of R Elbow Jt with Autol Sub, Perc Endo Approach",355,1800 Graedel Drive,Chicago,Illinois,60697,20,2019-12-25 16:30:41,2019-11-17 16:56:35
37,Yotz,"Release Trachea, Open Approach",71,762 Chive Pass,Charlottesville,Virginia,22908,15,2019-12-20 06:44:29,2019-11-18 00:09:19
38,Brainlounge,"Drainage of Para-aortic Body, Open Approach",110,56 Gina Crossing,Dayton,Ohio,45419,45,2019-12-13 00:48:57,2019-11-16 23:46:48
39,Zoonder,"Supplement R Com Iliac Vein w Nonaut Sub, Perc Endo",957,577 Eggendart Plaza,Birmingham,Alabama,35242,32,2019-12-09 05:22:34,2019-10-30 10:06:49
40,Photospace,"Excision of Left Elbow Joint, Perc Endo Approach",985,6305 Swallow Point,Washington,District of Columbia,20436,38,2019-12-25 17:31:31,2019-11-23 23:38:29
41,Brainverse,"Revision of Autol Sub in L Up Femur, Perc Endo Approach",462,1428 Ronald Regan Junction,Morgantown,West Virginia,26505,52,2019-12-12 09:30:33,2019-11-21 21:06:06
42,Brainsphere,"Replacement of Lum Disc with Synth Sub, Open Approach",79,92922 Thackeray Junction,Bradenton,Florida,34282,15,2019-12-24 01:52:06,2019-11-06 20:28:35
43,Fivespan,"Removal of Ext Fix from R Tibia, Extern Approach",333,8171 Harper Drive,San Diego,California,92170,11,2019-12-21 16:19:22,2019-11-15 14:00:21
44,Wikizz,"Excision of Right Anterior Tibial Artery, Open Approach",562,83646 Kinsman Drive,Los Angeles,California,90020,42,2019-12-04 06:02:17,2019-10-28 00:24:27
45,Mynte,"Excision of Stomach, Pylorus, Open Approach, Diagnostic",182,030 Gateway Street,Indianapolis,Indiana,46221,83,2019-12-02 17:22:03,2019-11-10 12:20:38
46,Mydo,"Hepatobiliary System and Pancreas, Inspection",322,862 Dryden Point,Chicago,Illinois,60674,78,2019-12-02 09:28:26,2019-11-20 15:54:23
47,Dabtype,"Drainage of Left Patella with Drain Dev, Perc Endo Approach",101,13176 Longview Road,Eugene,Oregon,97405,92,2019-12-08 17:54:11,2019-11-09 08:53:52
48,Kaymbo,"Bypass Left Ureter to Colocutaneous, Open Approach",962,7270 Maywood Lane,Arlington,Virginia,22234,98,2019-12-03 05:19:53,2019-11-05 02:34:56
49,Innotype,"Excision of Right Vocal Cord, Via Opening, Diagn",396,34652 Memorial Drive,Los Angeles,California,90010,10,2019-12-04 02:29:43,2019-11-19 11:33:59
50,Yambee,CT Scan of Sacrum & Coccyx using L Osm Contrast,326,465 Center Point,Colorado Springs,Colorado,80930,46,2019-12-15 21:31:32,2019-11-24 20:52:02
51,Gigashots,"Replace Perineum Skin w Nonaut Sub, Full Thick, Extern",585,390 Petterle Center,Washington,District of Columbia,20566,1,2019-12-22 03:22:56,2019-11-12 03:13:46
52,Topicstorm,"Revision of Infusion Device in Left Lung, Perc Approach",502,42 Bonner Alley,Sterling,Virginia,20167,78,2019-12-24 21:09:08,2019-11-14 07:21:52
53,Livetube,"Removal of Synth Sub from Mouth/Throat, Via Opening",220,376 Utah Place,Aiken,South Carolina,29805,99,2019-12-10 14:18:16,2019-11-07 21:16:38
54,Tagopia,"Revision of Nonaut Sub in Thor Jt, Open Approach",462,2925 Bayside Junction,Lawrenceville,Georgia,30045,79,2019-12-10 11:07:55,2019-11-26 08:17:50
55,Photospace,"Revision of Synth Sub in Chest Wall, Open Approach",965,30 Loeprich Point,Orlando,Florida,32835,16,2019-12-27 22:37:55,2019-11-20 21:32:41
56,Einti,"Supplement L Hand Bursa/Lig w Autol Sub, Perc Endo",449,7090 Declaration Trail,Memphis,Tennessee,38161,79,2019-12-09 21:00:22,2019-11-16 08:49:43
57,Brainlounge,"Supplement L Hip Muscle with Nonaut Sub, Perc Endo Approach",450,0 Dryden Place,Van Nuys,California,91499,26,2019-12-27 21:15:52,2019-10-28 17:59:15
58,Topiclounge,"Removal of Infusion Dev from Hepatobil Duct, Extern Approach",843,88 Vernon Pass,Orlando,Florida,32819,91,2019-12-22 17:50:32,2019-11-07 22:50:08
59,Midel,"Release Right Thyroid Gland Lobe, Perc Endo Approach",942,69932 David Crossing,Phoenix,Arizona,85072,25,2019-12-16 16:16:44,2019-10-27 16:22:00
60,Katz,"Excision of Left Hand Muscle, Open Approach, Diagnostic",613,6906 Glacier Hill Park,Sioux Falls,South Dakota,57105,80,2019-12-08 21:11:19,2019-11-05 01:35:16
61,Youopia,"Release Paraganglion Extremity, Percutaneous Approach",565,152 Hovde Way,Rochester,New York,14683,3,2019-12-23 07:54:21,2019-11-01 02:12:55
62,Vinder,"Extirpation of Matter from Right Lower Femur, Perc Approach",973,79801 Pleasure Place,Kansas City,Missouri,64199,64,2019-12-11 20:19:29,2019-11-05 04:55:15
63,Jaxspan,"Introduction of BMP into Joint, Open Approach",263,9096 Melvin Drive,Littleton,Colorado,80127,14,2019-12-19 17:09:27,2019-11-01 11:49:22
64,Kayveo,"Bypass R Fem Art to Foot Art w Nonaut Sub, Perc Endo",392,48605 Loomis Parkway,Whittier,California,90610,23,2019-12-05 01:54:19,2019-11-01 17:06:59
65,Dablist,High Dose Rate (HDR) Brachytherapy of Colon using Cesium 137,517,0675 Fuller Hill,Indianapolis,Indiana,46216,11,2019-12-16 05:55:10,2019-11-21 06:33:54
66,Yombu,Exercise Trmt Circ Up Back/UE w Electrotherap Equip,791,422 Victoria Pass,Washington,District of Columbia,20016,63,2019-11-28 06:39:37,2019-11-14 09:22:44
67,Kaymbo,"Supplement Left Cornea with Synth Sub, Open Approach",812,973 Elmside Road,Troy,Michigan,48098,11,2019-12-21 19:41:16,2019-11-02 21:22:41
68,Browsezoom,"Fragmentation in Subarachnoid Space, Percutaneous Approach",133,56 Pond Trail,Boston,Massachusetts,02119,34,2019-12-23 16:55:06,2019-11-26 04:47:52
69,Eazzy,"Insert of Limb Length Dev into L Femur Shaft, Open Approach",708,396 Swallow Center,Pasadena,California,91186,48,2019-12-01 07:52:05,2019-11-25 21:53:48
70,Skimia,"Release Intracranial Vein, Open Approach",197,62737 Anhalt Alley,Yakima,Washington,98907,42,2019-12-14 23:14:32,2019-11-13 18:42:13
71,Gigabox,"Reposition Right Knee Bursa and Ligament, Open Approach",721,86008 Birchwood Street,Toledo,Ohio,43635,25,2019-12-11 00:52:00,2019-11-16 14:16:34
72,Jaloo,"Replace R Knee Jt, Tibial w Synth Sub, Uncement, Open",432,12156 Goodland Parkway,Montgomery,Alabama,36195,66,2019-12-08 18:33:36,2019-11-10 16:28:10
73,Blogtag,"Excision of Hypothalamus, Percutaneous Approach, Diagnostic",748,7 Ramsey Crossing,Buffalo,New York,14220,99,2019-12-07 00:52:03,2019-11-05 23:28:52
74,Kare,"Insert Radioact Elem in Fem Perineum, Perc Endo",472,9 Sheridan Road,Hartford,Connecticut,06120,58,2019-12-23 16:40:28,2019-10-28 22:45:07
75,Ailane,"Supplement Colic Vein with Synth Sub, Perc Approach",565,46733 Buell Hill,Houston,Texas,77090,63,2019-12-17 14:39:05,2019-10-29 10:52:45
76,Skivee,"Supplement Right Tarsal with Synth Sub, Open Approach",166,5 Holy Cross Crossing,Silver Spring,Maryland,20904,57,2019-12-10 17:41:26,2019-11-24 19:35:09
77,Voolia,"Bypass 1 Cor Art from Abd Art w Nonaut Sub, Perc Endo",47,56 Milwaukee Way,Mobile,Alabama,36610,53,2019-12-10 08:12:56,2019-11-23 09:46:26
78,Photospace,"Revision of Autol Sub in R Breast, Open Approach",638,9682 Westend Court,Boulder,Colorado,80310,2,2019-12-13 18:32:15,2019-11-09 06:53:45
79,Youspan,"Supplement Left Glenoid Cavity with Synth Sub, Open Approach",842,696 Rusk Hill,Lincoln,Nebraska,68505,13,2019-12-23 09:30:12,2019-11-23 17:44:56
80,Quire,"Removal of Synth Sub from Lumsac Disc, Perc Approach",261,14261 Pine View Lane,Spokane,Washington,99220,27,2019-12-09 01:20:37,2019-11-22 20:27:33
81,Realbridge,"Occlusion of L Verteb Vein with Extralum Dev, Open Approach",886,8 Buhler Avenue,South Bend,Indiana,46699,86,2019-12-23 15:36:37,2019-11-22 19:40:02
82,Buzzdog,"Revision of Other Device in R Up Extrem, Perc Endo Approach",779,22 Melby Trail,San Francisco,California,94159,9,2019-11-30 22:14:03,2019-11-21 14:02:22
83,Twimm,"Alteration of Chest Wall with Autol Sub, Open Approach",482,2724 Gina Parkway,Greensboro,North Carolina,27455,71,2019-12-07 03:35:35,2019-10-28 17:26:50
84,Skipstorm,"Drainage of Thoracic Spinal Cord, Perc Approach, Diagn",637,03291 Ruskin Avenue,Los Angeles,California,90081,33,2019-12-25 10:55:36,2019-10-29 15:03:24
85,Wikizz,"Alteration of Chest Wall with Autol Sub, Perc Approach",274,1749 Washington Crossing,Beaufort,South Carolina,29905,60,2019-12-03 14:10:18,2019-11-21 17:04:28
86,Eare,Stereotactic Other Photon Radiosurgery of Parathyroid Glands,98,49503 Longview Way,Worcester,Massachusetts,01610,8,2019-11-30 01:38:04,2019-11-22 19:07:22
87,Avavee,"Removal of Autol Sub from L Tibia, Perc Endo Approach",70,5 Mifflin Alley,Bakersfield,California,93381,36,2019-12-14 16:23:06,2019-11-17 18:24:15
88,Edgeclub,"Replacement of Back Skin with Synth Sub, Extern Approach",768,9 Forster Trail,Memphis,Tennessee,38150,15,2019-12-11 12:24:48,2019-11-10 15:38:26
89,Quamba,"Introduce of Oth Diagn Subst into Periph Vein, Perc Approach",530,401 Doe Crossing Parkway,High Point,North Carolina,27264,30,2019-11-28 12:32:56,2019-11-04 00:30:40
90,Izio,"Drainage of R Foot Bursa/Lig, Perc Endo Approach",993,03 Everett Terrace,Boston,Massachusetts,02104,30,2019-12-13 21:41:09,2019-11-19 02:57:46
91,Tekfly,"Bypass Left Ventricle to R Int Mammary, Open Approach",915,646 Eggendart Alley,Bradenton,Florida,34210,90,2019-12-03 12:49:15,2019-11-23 13:51:12
92,Tekfly,"Fluoroscopy of L Jugular Vein using L Osm Contrast, Guidance",81,84080 Toban Circle,Duluth,Georgia,30096,15,2019-12-07 19:15:32,2019-11-04 08:44:34
93,Quaxo,"Irrigation of Female Reproductive using Irrigat, Via Opening",517,7 Schmedeman Avenue,Migrate,Kentucky,41905,37,2019-12-13 01:58:15,2019-11-21 00:42:19
94,Dynava,"Removal of Spacer from L Sternoclav Jt, Perc Endo Approach",501,27253 Artisan Center,Washington,District of Columbia,20557,70,2019-12-04 22:26:51,2019-11-22 15:57:52
95,Rhybox,"Drainage of Lum Jt with Drain Dev, Perc Approach",369,6283 Dovetail Plaza,Sacramento,California,95865,82,2019-12-19 01:32:16,2019-11-14 11:52:29
96,Abatz,"Supplement Right Hand Artery with Nonaut Sub, Open Approach",157,078 Pond Circle,New York City,New York,10170,71,2019-12-12 07:23:48,2019-11-10 21:33:53
97,Tagchat,"Occlusion of R Neck Lymph with Extralum Dev, Open Approach",16,20475 Macpherson Lane,San Francisco,California,94147,72,2019-12-22 17:32:25,2019-11-23 14:25:48
98,Quinu,"Excision of Sciatic Nerve, Percutaneous Endoscopic Approach",119,834 Vidon Road,Louisville,Kentucky,40250,46,2019-12-21 09:31:50,2019-11-20 23:10:34
99,InnoZ,"Revision of Nonaut Sub in Cisterna Chyli, Open Approach",592,3 John Wall Street,Saint Paul,Minnesota,55108,81,2019-12-22 05:56:05,2019-11-11 23:00:42
100,Yodo,"Revision of Infusion Device in Lumsac Jt, Perc Endo Approach",336,5 Harbort Alley,Schenectady,New York,12305,87,2019-12-11 02:49:50,2019-11-02 01:13:27
101,Skyba,"Fusion of Left Shoulder Joint, Percutaneous Approach",204,4181 Surrey Place,Lubbock,Texas,79405,41,2019-12-18 03:51:09,2019-10-28 00:20:01
102,Muxo,"Excision of Right Basilic Vein, Percutaneous Approach",14,5133 La Follette Court,Dayton,Ohio,45419,94,2019-11-30 12:44:54,2019-10-30 05:35:36
103,Devcast,"Destruction of Right Hip Muscle, Perc Endo Approach",970,42 Welch Drive,Hamilton,Ohio,45020,66,2019-11-29 16:07:03,2019-11-03 17:31:32
104,Jabberbean,"Release Lower Esophagus, Percutaneous Endoscopic Approach",640,0 Troy Park,Washington,District of Columbia,20244,19,2019-12-02 09:51:25,2019-11-19 15:59:59
105,Tambee,"Occlusion R Ext Iliac Art w Extralum Dev, Perc Endo",982,31295 Hintze Way,Houston,Texas,77250,17,2019-12-04 04:33:20,2019-10-27 19:15:44
106,Thoughtmix,Computerized Tomography (CT Scan) of Inferior Vena Cava,133,4264 Gulseth Parkway,Seattle,Washington,98148,5,2019-12-26 03:56:41,2019-11-06 20:21:34
107,Blogspan,"Dilate R Peroneal Art, Bifurc, w 2 Drug-elut, Perc Endo",842,490 Sutteridge Plaza,Waterbury,Connecticut,06726,80,2019-12-23 13:52:15,2019-11-19 09:57:44
108,Blogspan,"Replacement of Right Rib with Nonaut Sub, Perc Endo Approach",954,55160 Troy Lane,Bradenton,Florida,34205,90,2019-12-22 16:54:17,2019-11-03 01:33:54
109,Twinte,"Repair Left Cephalic Vein, Percutaneous Endoscopic Approach",287,1 Loeprich Alley,Garland,Texas,75044,56,2019-11-30 14:10:00,2019-11-20 16:00:38
110,Rhynoodle,"Excision of Right Peroneal Artery, Perc Approach, Diagn",159,09060 Fieldstone Alley,Atlanta,Georgia,30301,12,2019-12-08 22:16:44,2019-11-25 18:21:40
111,Browsetype,"Fusion C-thor Jt w Intbd Fus Dev, Ant Appr A Col, Perc",393,589 Susan Terrace,New Orleans,Louisiana,70179,72,2019-11-28 06:43:41,2019-11-16 13:49:49
112,Blognation,"Beam Radiation of Pancreas using Electrons, Intraoperative",565,8 Lillian Way,Charleston,West Virginia,25326,83,2019-12-25 01:52:57,2019-11-12 23:13:26
113,Dabtype,"Insertion of Ext Fix into L Metatarsal, Perc Approach",428,7 Anhalt Point,Denton,Texas,76210,10,2019-12-13 05:40:30,2019-11-02 12:56:22
114,Jabbersphere,"Drainage of R Foot Subcu/Fascia, Open Approach, Diagn",516,7644 Schiller Terrace,San Jose,California,95128,41,2019-11-28 14:46:01,2019-11-23 04:51:57
115,Cogibox,Planar Nucl Med Imag of Chest & Abd using Oth Radionuclide,975,92938 Ridgeview Crossing,Terre Haute,Indiana,47812,30,2019-12-18 09:16:57,2019-11-02 10:20:03
116,Skinix,"Restrict of R Peroneal Art with Intralum Dev, Open Approach",88,95 Fremont Avenue,Austin,Texas,78710,46,2019-12-22 01:53:11,2019-11-14 16:05:49
117,Yotz,"Removal of Autol Sub from R Extraoc Muscle, Open Approach",280,37255 Manley Center,Erie,Pennsylvania,16550,62,2019-12-24 01:48:47,2019-11-24 17:56:57
118,Geba,"Occlusion of L Sperm Cord with Intralum Dev, Open Approach",154,03 Melvin Junction,New York City,New York,10292,65,2019-12-19 03:27:22,2019-11-01 10:35:50
119,Dabjam,"Dilation of Right Colic Artery, Bifurcation, Perc Approach",905,4536 Kipling Pass,Berkeley,California,94705,30,2019-12-22 23:40:31,2019-11-08 01:30:01
120,Agimba,"Change Drainage Device in Fallopian Tube, External Approach",415,56821 Utah Pass,Louisville,Kentucky,40233,48,2019-12-15 07:08:25,2019-11-18 12:47:54
121,Jaloo,"Revision of Nonaut Sub in L Wrist Jt, Perc Endo Approach",854,81269 Artisan Street,New York City,New York,10270,19,2019-12-15 08:40:52,2019-11-13 11:28:53
122,Zoonder,"Drainage of Left Wrist Region with Drain Dev, Perc Approach",646,1431 Center Avenue,Oklahoma City,Oklahoma,73152,55,2019-12-26 12:20:39,2019-11-16 14:40:06
123,Skyba,"Destruction of Femoral Nerve, Percutaneous Approach",995,4588 Old Shore Place,Boulder,Colorado,80328,11,2019-11-29 10:41:59,2019-10-28 17:09:41
124,Dynabox,"Extraction of R Foot Subcu/Fascia, Open Approach",279,417 Straubel Street,Yakima,Washington,98907,2,2019-12-20 19:42:25,2019-10-31 12:17:16
125,Trilith,"Repair Left Trunk Tendon, Percutaneous Endoscopic Approach",446,8707 Melody Center,High Point,North Carolina,27264,12,2019-12-06 12:31:18,2019-11-12 16:25:02
126,Skipfire,"Extirpation of Matter from R Extraoc Muscle, Perc Approach",48,5 Orin Place,Winston Salem,North Carolina,27116,84,2019-12-21 23:24:10,2019-10-27 03:29:51
127,Quire,"Drainage of Facial Muscle, Percutaneous Approach, Diagnostic",884,560 Dexter Street,Buffalo,New York,14215,82,2019-12-25 23:24:30,2019-11-22 05:17:11
128,Yambee,"Excision of Right Basilic Vein, Open Approach, Diagnostic",759,1537 Blue Bill Park Road,New York City,New York,10275,98,2019-12-08 05:19:08,2019-11-01 14:23:59
129,Skipfire,Plaque Radiation of Esophagus,788,48732 Kings Alley,Oakland,California,94627,88,2019-12-27 07:24:07,2019-10-29 19:38:44
130,Blogtags,"Supplement R Hip Jt with Autol Sub, Perc Endo Approach",911,335 Jay Court,Detroit,Michigan,48217,42,2019-12-01 18:04:47,2019-11-01 03:20:48
131,Jetwire,"Bypass Upper Esophagus to Duodenum, Perc Endo Approach",88,142 Iowa Junction,Abilene,Texas,79699,9,2019-12-01 06:24:53,2019-11-09 07:39:39
132,Kayveo,"Reattachment of Upper Tooth, Multiple, Open Approach",716,08330 Center Hill,Tacoma,Washington,98481,28,2019-12-04 17:11:05,2019-11-25 16:08:07
133,Jetwire,"Destruction of Accessory Nerve, Perc Endo Approach",225,15 Johnson Plaza,Las Vegas,Nevada,89145,14,2019-12-03 09:22:49,2019-11-15 17:21:18
134,Wordify,"Dilation of Inf Vena Cava with Intralum Dev, Open Approach",71,56 Alpine Junction,Houston,Texas,77045,4,2019-12-12 09:50:52,2019-11-21 07:30:56
135,Gabtype,"Drainage of Male Perineum with Drain Dev, Perc Approach",128,675 Briar Crest Avenue,Raleigh,North Carolina,27690,73,2019-12-15 00:02:48,2019-11-23 20:43:02
136,Shuffledrive,"Respiratory System, Reposition",521,78 Chinook Center,New York City,New York,10131,58,2019-12-01 17:58:28,2019-11-21 01:37:28
137,Tagchat,"Occlusion R Foot Vein w Extralum Dev, Perc Endo",613,89965 Marcy Avenue,Beaverton,Oregon,97075,78,2019-12-13 06:20:51,2019-11-18 08:54:25
138,Skyndu,"Extraction of Accessory Nerve, Perc Endo Approach",935,42437 Barnett Junction,Metairie,Louisiana,70033,57,2019-12-26 08:07:30,2019-11-23 13:46:14
139,Edgetag,"Motor Functn Trmt Musculosk Head, Neck w Assist Equip",298,47712 Golf View Alley,Jackson,Mississippi,39204,71,2019-12-25 18:17:58,2019-11-04 09:37:34
140,Zoomlounge,"Dilation of L Radial Art with Intralum Dev, Perc Approach",186,0209 Becker Parkway,Durham,North Carolina,27710,44,2019-12-08 11:42:07,2019-11-20 01:09:31
141,Janyx,"Resection of Left Elbow Bursa and Ligament, Open Approach",192,92 Monument Way,Garden Grove,California,92844,29,2019-12-08 08:52:42,2019-11-12 17:35:53
142,Edgepulse,"Supplement Left Atrium with Nonaut Sub, Open Approach",247,0 Pepper Wood Place,Port Charlotte,Florida,33954,97,2019-12-20 06:55:27,2019-10-28 08:37:01
143,Fatz,"Bypass R Int Iliac Art to L Ext Ilia w Autol Vn, Open",949,64395 Drewry Court,Houston,Texas,77240,64,2019-12-17 20:58:43,2019-11-05 02:41:47
144,Meemm,"Release Right Eustachian Tube, Open Approach",792,40435 Shasta Avenue,Spokane,Washington,99215,33,2019-12-11 08:11:49,2019-11-17 06:43:24
145,Gabtype,"Removal of Synth Sub from R Metatarsal, Perc Approach",744,91 Boyd Park,Seattle,Washington,98127,65,2019-12-07 14:52:14,2019-11-19 02:27:19
146,Babblestorm,"Drainage of Left Shoulder Region, Percutaneous Approach",261,5088 Bunting Road,Salem,Oregon,97306,44,2019-12-13 00:03:31,2019-11-15 03:26:49
147,Aimbo,"Release Right Knee Bursa and Ligament, Open Approach",589,2 Warrior Terrace,Lansing,Michigan,48919,45,2019-12-22 19:21:37,2019-11-09 11:43:44
148,Trilia,"Insert of Intralum Dev into R Ulnar Art, Perc Endo Approach",674,1310 Sheridan Junction,Orange,California,92862,34,2019-12-20 09:07:22,2019-11-19 08:12:25
149,Kazio,"Bypass R Fallopian Tube to R Fallop w Synth Sub, Open",438,34 2nd Parkway,Fort Lauderdale,Florida,33305,73,2019-12-20 02:22:59,2019-11-06 01:31:19
150,Jabberstorm,"Bypass L Fallopian Tube to R Fallop w Nonaut Sub, Open",599,36108 Lerdahl Place,San Diego,California,92170,100,2019-11-28 18:33:40,2019-10-27 07:58:28
151,Browseblab,"Removal of Drainage Device from Penis, Percutaneous Approach",196,6751 Coolidge Alley,Trenton,New Jersey,08619,47,2019-12-14 13:49:49,2019-11-23 17:46:47
152,Realmix,"Excision of L Ankle Bursa/Lig, Perc Endo Approach",374,07285 Nevada Junction,Columbus,Ohio,43215,56,2019-12-17 05:12:04,2019-10-30 21:01:56
153,Dabjam,"Resection of Pineal Body, Percutaneous Endoscopic Approach",203,82947 Continental Road,Las Vegas,Nevada,89120,54,2019-12-20 19:57:18,2019-11-08 19:44:10
154,Youspan,"Alteration of R Up Eyelid with Autol Sub, Open Approach",561,62 Lakewood Street,Lexington,Kentucky,40576,30,2019-12-10 18:38:36,2019-11-11 03:55:30
155,Wikizz,"Destruction of Vagina, Endo",915,13636 Quincy Junction,Salem,Oregon,97306,23,2019-12-25 02:48:55,2019-11-23 06:52:08
156,Babbleblab,"Repair Left Lacrimal Bone, Percutaneous Endoscopic Approach",744,65583 Eliot Terrace,Decatur,Illinois,62525,90,2019-12-14 18:08:39,2019-11-22 04:18:08
